state,a_participation_17,a_participation_18,a_participation_change,s_participation_17,s_participation_change,s_participation_change2,a_english_17,a_math_17,a_reading_17,a_science_17,a_composite_17,s_rw_17,s_math_17,s_total_17,s_rw_18,s_math_18,s_total_18,a_composite_18
Ohio,75,100,25,12,18,6,21.2,21.6,22.5,22,22,578,570,1149,552,547,1099,20.3
Iowa,67,68,1,2,3,1,21.2,21.3,22.6,22.1,21.9,641,635,1275,634,631,1265,21.8
New Mexico,66,67,1,11,16,5,18.6,19.4,20.4,20,19.7,577,561,1138,552,540,1093,19.4
Oregon,40,42,2,43,48,5,21.2,21.5,22.4,21.7,21.8,560,548,1108,564,553,1117,21.3
Maryland,28,31,3,69,76,7,23.3,23.1,24.2,23.8,23.6,536,524,1060,545,535,1080,22.5
South Carolina,100,100,0,50,55,5,17.5,18.6,19.1,18.9,18.7,543,521,1064,547,523,1070,18.3
North Carolina,100,100,0,49,52,3,17.8,19.3,19.6,19.3,19.1,546,535,1081,554,543,1098,19.1
Oklahoma,100,100,0,7,8,1,18.5,18.8,20.1,19.6,19.4,530,517,1047,541,521,1062,19.3
Alabama,100,100,0,5,6,1,18.9,18.4,19.7,19.4,19.2,593,572,1165,595,571,1166,19.1
Tennessee,100,100,0,5,6,1,19.5,19.2,20.1,19.9,19.8,623,604,1228,624,607,1231,19.6
Arkansas,100,100,0,3,5,2,18.9,19,19.7,19.5,19.4,614,594,1208,592,576,1169,19.4
Missouri,100,100,0,3,4,1,19.8,19.9,20.8,20.5,20.4,640,631,1271,633,629,1262,20
Utah,100,100,0,3,4,1,19.5,19.9,20.8,20.6,20.3,624,614,1238,480,530,1010,20.4
Mississippi,100,100,0,2,3,1,18.2,18.1,18.8,18.8,18.6,634,607,1242,630,606,1236,18.6
Minnesota,100,99,-1,3,4,1,20.4,21.5,21.8,21.6,21.5,644,651,1295,643,655,1298,21.3
Hawaii,90,89,-1,55,56,1,17.8,19.2,19.2,19.3,19,544,541,1085,480,530,1010,18.9
West Virginia,69,65,-4,14,28,14,20,19.4,21.2,20.5,20.4,558,528,1086,513,486,999,20.3
Georgia,55,53,-2,61,70,9,21,20.9,22,21.3,21.4,535,515,1050,542,522,1064,21.4
Texas,45,45,0,62,66,4,19.5,20.7,21.1,20.9,20.7,513,507,1020,520,512,1032,20.7
Illinois,93,43,-50,9,99,90,21,21.2,21.6,21.3,21.4,559,556,1115,513,506,1019,23.9
Idaho,38,36,-2,93,100,7,21.9,21.8,23,22.1,22.3,513,493,1005,508,493,1001,22.3
Alaska,65,33,-32,38,43,5,18.7,19.8,20.4,19.9,19.8,547,533,1080,562,544,1106,20.8
New Jersey,34,31,-3,70,82,12,23.8,23.8,24.1,23.2,23.9,530,526,1056,547,547,1094,23.7
Colorado,100,30,-70,11,100,89,20.1,20.3,21.2,20.9,20.8,606,595,1201,519,506,1025,23.9
New York,31,27,-4,67,79,12,23.8,24,24.6,23.9,24.2,528,523,1052,534,534,1068,24.5
California,31,27,-4,53,60,7,22.5,22.7,23.1,22.2,22.8,531,524,1055,540,536,1076,22.7
Massachusetts,29,25,-4,76,80,4,25.4,25.3,25.9,24.7,25.4,555,551,1107,562,563,1125,25.5
Washington,29,24,-5,64,69,5,20.9,21.9,22.1,22,21.9,541,534,1075,543,538,1081,22.2
Virginia,29,24,-5,65,68,3,23.5,23.3,24.6,23.5,23.8,561,541,1102,567,550,1117,23.9
Vermont,29,24,-5,60,64,4,23.3,23.1,24.4,23.2,23.6,562,551,1114,565,554,1120,24.1
Pennsylvania,23,20,-3,65,70,5,23.4,23.4,24.2,23.3,23.7,540,531,1071,547,539,1086,23.5
Rhode Island,21,15,-6,71,97,26,24,23.3,24.7,23.4,24,539,524,1062,513,505,1018,24.2
Maine,8,7,-1,95,99,4,24.2,24,24.8,23.7,24.3,513,499,1012,512,501,1013,24
Nebraska,84,100,16,3,3,0,20.9,20.9,21.9,21.5,21.4,629,625,1253,629,623,1252,20.1
Arizona,62,66,4,30,29,-1,18.6,19.8,20.1,19.8,19.7,563,553,1116,577,572,1149,19.2
Nevada,100,100,0,26,23,-3,16.3,18,18.1,18.2,17.8,563,553,1116,574,566,1140,17.7
Montana,100,100,0,10,10,0,19,20.2,21,20.5,20.3,605,591,1196,606,592,1198,20
Kentucky,100,100,0,4,4,0,19.6,19.4,20.5,20.1,20,631,616,1247,630,618,1248,20.2
Louisiana,100,100,0,4,4,0,19.4,18.8,19.8,19.6,19.5,611,586,1198,615,595,1210,19.2
Wisconsin,100,100,0,3,3,0,19.7,20.4,20.6,20.9,20.5,642,649,1291,641,653,1294,20.5
Wyoming,100,100,0,3,3,0,19.4,19.8,20.8,20.6,20.2,626,604,1230,633,625,1257,20
North Dakota,98,98,0,2,2,0,19,20.4,20.5,20.6,20.3,635,621,1256,640,643,1283,20.3
South Dakota,80,77,-3,3,3,0,20.7,21.5,22.3,22,21.8,612,603,1216,622,618,1240,21.9
Kansas,73,71,-2,4,4,0,21.1,21.3,22.3,21.7,21.7,632,628,1260,633,631,1265,21.6
Florida,73,66,-7,83,56,-27,19,19.4,21,19.4,19.8,520,497,1017,550,549,1099,19.9
District of Columbia,32,32,0,100,92,-8,24.4,23.5,24.9,23.5,24.2,482,468,950,497,480,977,23.6
Indiana,35,32,-3,63,63,0,22,22.4,23.2,22.3,22.6,542,532,1074,542,532,1074,22.5
Connecticut,31,26,-5,100,100,0,25.5,24.6,25.6,24.6,25.2,530,512,1041,535,519,1053,25.6
Michigan,29,22,-7,100,100,0,24.1,23.7,24.5,23.8,24.1,509,495,1005,511,499,1011,24.2
Delaware,18,17,-1,100,100,0,24.1,23.4,24.8,23.6,24.1,503,492,996,505,492,998,23.8
New Hampshire,18,16,-2,96,96,0,25.4,25.1,26,24.9,25.5,532,520,1052,535,528,1063,25.1